outer_fold,feature_index,feature,document_frequency,treated_count,control_count,raw_moment,standard_error,z_score,tail_score,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,tail_sign_agreement,eligible,ranking_score,rank
1,25440,sex age,512,269,243,-8.453893032776571e-05,2.8047472265607623e-05,-3.014137228738044,-0.26880416,1.0,1.0,0.6,1.0,True,2.109896060116631,122
1,10659,dlco,159,73,86,-8.427646982150979e-05,2.90643328732728e-05,-2.8996526494853554,-0.25298515,1.0,1.0,0.6333333333333333,1.0,True,2.1022481708768828,123
1,16232,lesion shows,131,65,66,9.504995624321668e-05,3.168112991112542e-05,3.0002072688019283,0.3262894,1.0,1.0,0.6,1.0,True,2.1001450881613497,124
1,23812,r.,91,51,40,9.608403791528733e-05,3.227441894123942e-05,2.9770958259612113,0.40138847,1.0,1.0,0.6,1.0,True,2.0839670781728477,125
1,11685,exertional,363,178,185,-0.00010821640659253737,3.6404971446588386e-05,-2.9725722145204054,-0.29601926,1.0,1.0,0.6,1.0,True,2.080800550164284,126
1,29894,woman with stage,205,107,98,0.00014054729851718074,4.898608614164384e-05,2.8691269212810058,0.34897575,1.0,1.0,0.6333333333333333,1.0,True,2.080117017928729,127
1,9958,demonstrated activity in,84,40,44,-6.895355666425309e-05,2.4871954240338808e-05,-2.7723417306879785,-0.20143972,1.0,1.0,0.6666666666666666,1.0,True,2.079256298015984,128
1,968,- provided,353,185,168,9.760612597774618e-05,3.0592264313295054e-05,3.190549250560955,0.275898,1.0,1.0,0.5333333333333333,1.0,True,2.0738570128646208,129
1,1744,0.9 k ul,87,52,35,-7.692527822708852e-05,2.5984492129263357e-05,-2.9604303152978075,-0.21237445,1.0,1.0,0.6,1.0,True,2.0723012207084652,130
1,9492,ct obtained,135,66,69,-9.012146468266497e-05,3.0515308940647822e-05,-2.9533197536341818,-0.21323274,1.0,1.0,0.6,1.0,True,2.067323827543927,131
1,11777,extra-axial fluid,291,160,131,8.787299269706514e-05,2.8918004104342432e-05,3.038694938281367,0.20031221,1.0,1.0,0.5666666666666667,1.0,True,2.051119083339923,132
1,6503,as tolerated. -,184,100,84,8.482413015945502e-05,3.0047620341610578e-05,2.822989947126987,0.3428202,1.0,1.0,0.6333333333333333,1.0,True,2.0466677116670655,133
1,24068,received,724,367,357,6.41806519170894e-05,2.1460755247654605e-05,2.9906054645538886,0.3368605,1.0,1.0,0.5666666666666667,1.0,True,2.018658688573875,134
1,9840,declined,157,76,81,-0.00010256220481369186,3.431992114227484e-05,-2.988416097709416,-0.2392789,1.0,1.0,0.5666666666666667,1.0,True,2.017180865953856,135
